model_key,split,text_sha256,policy,period,document_mean_kl,document_cvar90_kl,document_p95_kl,total_candidate_forward_calls,audit_events,dangerous_steps,dangerous_step_recall,threshold_violation_fraction,diagnostic_high_forward_calls,diagnostic_low_forward_calls,physical_high_forward_calls,physical_low_forward_calls
olmoe,sealed,b7ab5a648ecb2f6143333a157b90a2e373146ab70c505e123849880cf09c9775,always_low,,0.05477367167986813,0.1772339530289173,0.12427373602986336,32,0,3,0.0,0.09375,32,0,32,32
olmoe,sealed,b7ab5a648ecb2f6143333a157b90a2e373146ab70c505e123849880cf09c9775,triage_2_4_8,4,0.046326349016453605,0.1631605662405491,0.11205306872725485,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,b7ab5a648ecb2f6143333a157b90a2e373146ab70c505e123849880cf09c9775,hash_budget_matched_2_4_8,4,0.046326349016453605,0.1631605662405491,0.11205306872725485,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,b7ab5a648ecb2f6143333a157b90a2e373146ab70c505e123849880cf09c9775,fixed_2,2,0.038566309896850726,0.09931264072656631,0.09643789120018481,47,15,3,0.6666666666666666,0.03125,14,3,32,32
olmoe,sealed,b7ab5a648ecb2f6143333a157b90a2e373146ab70c505e123849880cf09c9775,fixed_4,4,0.046326349016453605,0.1631605662405491,0.11205306872725485,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,b7ab5a648ecb2f6143333a157b90a2e373146ab70c505e123849880cf09c9775,fixed_8,8,0.05477367167986813,0.1772339530289173,0.12427373602986336,36,4,3,0.0,0.09375,28,0,32,32
olmoe,sealed,b7ab5a648ecb2f6143333a157b90a2e373146ab70c505e123849880cf09c9775,full_shadow,1,0.0362413515940716,0.0879499651491642,0.08442488871514797,64,32,3,1.0,0.0,0,0,32,32
olmoe,sealed,2b80f71af978a7eb16f252dccfd7ba3a19b796c41015d821e04034b39e19f4c9,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,2b80f71af978a7eb16f252dccfd7ba3a19b796c41015d821e04034b39e19f4c9,always_low,,0.0413052274172685,0.2123568169772625,0.1716862060129642,32,0,2,0.0,0.0625,32,0,32,32
olmoe,sealed,2b80f71af978a7eb16f252dccfd7ba3a19b796c41015d821e04034b39e19f4c9,triage_2_4_8,2,0.017001979444671633,0.0818285821005702,0.05915642473846672,46,14,3,0.6666666666666666,0.03125,12,6,32,32
olmoe,sealed,2b80f71af978a7eb16f252dccfd7ba3a19b796c41015d821e04034b39e19f4c9,hash_budget_matched_2_4_8,4,0.024261400829360014,0.11260002292692661,0.10798644237220285,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,2b80f71af978a7eb16f252dccfd7ba3a19b796c41015d821e04034b39e19f4c9,fixed_2,2,0.017001979444671633,0.0818285821005702,0.05915642473846672,46,14,3,0.6666666666666666,0.03125,12,6,32,32
olmoe,sealed,2b80f71af978a7eb16f252dccfd7ba3a19b796c41015d821e04034b39e19f4c9,fixed_4,4,0.024261400829360014,0.11260002292692661,0.10798644237220285,40,8,3,0.3333333333333333,0.0625,21,3,32,32
