layer,rank,precision,delta_kl,local_relative_mse,bytes_per_element,byte_saving_per_rank
14,2,drop,6.3583716824650764,0.16115319001199535,0.0,0.125
14,3,int8,0.01118868391495198,3.758751319947404e-05,1.0,0.0625
14,3,int4,0.11488100257702172,0.010372350583008741,0.5,0.09375
14,3,drop,1.5699881333857775,0.09528370483722776,0.0,0.125
14,4,int8,0.011673237357172184,2.9128318290959378e-05,1.0,0.0625
14,4,int4,0.09256232064217329,0.007962202649093619,0.5,0.09375
14,4,drop,1.056851176545024,0.06731684401830972,0.0,0.125
14,5,int8,0.010543156240601093,1.844588995577458e-05,1.0,0.0625
14,5,int4,0.059128963272087276,0.004682045908303952,0.5,0.09375
14,5,drop,0.5147677939385176,0.03754959756866204,0.0,0.125
14,6,int8,0.010764967446448281,1.1386519743090511e-05,1.0,0.0625
14,6,int4,0.048482043319381773,0.002636328178812181,0.5,0.09375
14,6,drop,0.34219913836568594,0.021959219214483985,0.0,0.125
14,7,int8,0.010992787138093263,6.523817148644939e-06,1.0,0.0625
14,7,int4,0.02826017379993573,0.0012237310788492557,0.5,0.09375
14,7,drop,0.1845907511888072,0.012310489384200728,0.0,0.125
14,8,int8,0.00986636444577016,5.283199775608071e-06,1.0,0.0625
14,8,int4,0.023205284058349207,0.0008813466452458364,0.5,0.09375
14,8,drop,0.12064600712619722,0.007745819864705987,0.0,0.125
