model,placement,policy,policy_family,budget_fraction,shadow_count,candidate_count,selection_split,evaluation_split,mean_uncovered_mass,p50_uncovered_mass,p95_uncovered_mass,p99_uncovered_mass,cvar95_uncovered_mass,max_uncovered_mass,fraction_mass_le_0p10,fraction_mass_le_0p20,fraction_fully_covered,request_cvar95_mean,cvar95_reduction_vs_no_shadow
llmjp_e32k16,contiguous,gate_mass,gate_mass,0.0,0,512,calibration,historical test,0.4999999990952375,0.5,0.719061306118965,0.7884865248203278,0.7615869515250936,0.9589166045188904,0.0002231597900390625,0.0073089599609375,0.0,0.7610695235806519,0.0
llmjp_e32k16,contiguous,cvar_greedy,cvar_greedy,0.0,0,512,calibration,historical test,0.4999999990952375,0.5,0.719061306118965,0.7884865248203278,0.7615869515250936,0.9589166045188904,0.0002231597900390625,0.0073089599609375,0.0,0.7610695235806519,0.0
llmjp_e32k16,contiguous,oracle_cvar,oracle_cvar,0.0,0,512,historical oracle,historical test,0.4999999990952375,0.5,0.719061306118965,0.7884865248203278,0.7615869515250936,0.9589166045188904,0.0002231597900390625,0.0073089599609375,0.0,0.7610695235806519,0.0
llmjp_e32k16,contiguous,frequency,frequency,0.02,10,512,calibration,historical test,0.4744460597268141,0.47400539368391037,0.704941987991333,0.7791607606410981,0.7507120651841436,0.9589166045188904,0.0003108978271484375,0.015743255615234375,0.0,0.7503097336789522,0.014279244568427552
llmjp_e32k16,contiguous,gate_mass,gate_mass,0.02,10,512,calibration,historical test,0.47180234715418834,0.46961191296577454,0.7050061225891113,0.779230602439493,0.7507339306611922,0.9589166045188904,0.0003910064697265625,0.0172882080078125,0.0,0.7503424595723782,0.0142505341539374
llmjp_e32k16,contiguous,cvar_greedy,cvar_greedy,0.02,10,512,calibration,historical test,0.4774674737076605,0.4781017601490021,0.687255859375,0.7645991283655167,0.7350154571269389,0.9589166045188904,0.0002651214599609375,0.009693145751953125,0.0,0.7345775155005756,0.03488963977776227
llmjp_e32k16,contiguous,oracle_cvar,oracle_cvar,0.02,10,512,historical oracle,historical test,0.4799526546496722,0.4815538823604584,0.6877214312553406,0.7614858770370483,0.7330928192138628,0.9589166045188904,0.0002689361572265625,0.009792327880859375,0.0,0.7326732947702069,0.037414155079955935
llmjp_e32k16,contiguous,frequency,frequency,0.05,26,512,calibration,historical test,0.4426925795398988,0.44022468477487564,0.682628870010376,0.7645263671875,0.7335446279184294,0.9589166045188904,0.001476287841796875,0.036930084228515625,0.0,0.7328461674773369,0.036820908696648225
llmjp_e32k16,contiguous,gate_mass,gate_mass,0.05,26,512,calibration,historical test,0.4404885274965853,0.4381638169288635,0.6758604036644101,0.7570477890968325,0.7266004285527151,0.9539146218448877,0.0014324188232421875,0.03495597839355469,0.0,0.7256894452989533,0.04593897374727496
llmjp_e32k16,contiguous,cvar_greedy,cvar_greedy,0.05,26,512,calibration,historical test,0.45182011753397244,0.452491395175457,0.6483449883759022,0.7255408277176321,0.6957277516518608,0.9549516183324158,0.000286102294921875,0.012907028198242188,0.0,0.6948109494906058,0.086476271345443
