arm,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms,tokens_processed,goodput_tokens_per_s,expert_loop,gate,moe_total,routing_setup,unattributed_tail_ms,moe_total_fraction,gate_fraction,routing_setup_fraction,expert_loop_fraction,unattributed_tail_ms_fraction
breakdown,decode,4,128,1,20300829,3,76.2307815552,4,52.472241769,64.0951035023,0.38735999912,67.821377039,2.72988799214,0.609025545418,0.889684923273,0.00508141188137,0.0358108356815,0.840803441794,0.00798923391567
breakdown,decode,4,128,1,20300829,4,73.0397109985,4,54.7647292865,60.9253439903,0.384927999228,64.6512320042,2.73094399273,0.610016021878,0.885151804687,0.00527011941813,0.0373898521147,0.834139992579,0.00835184057464
breakdown,decode,4,128,1,20300829,5,77.01222229,4,51.9398074884,64.9339191914,0.382592000067,68.6290891171,2.69616000354,0.61641792208,0.891145419211,0.00496793870753,0.0350095078855,0.843163815567,0.00800415705131
breakdown,decode,4,128,1,20300829,6,71.8500137329,4,55.6715272856,59.7432641983,0.383968004957,63.4696323872,2.72604800761,0.616352176294,0.883362842812,0.00534402131618,0.0379408140093,0.831499690736,0.00857831675001
breakdown,decode,4,128,1,20300829,7,75.0833892822,4,53.274100147,62.6616640091,0.389919999987,66.4463365078,2.77561603487,0.619136463851,0.88496719638,0.00519315928216,0.0369671116528,0.83456094095,0.00824598449497
breakdown,decode,4,128,1,20300829,8,74.9705886841,4,53.3542562518,62.6072320938,0.403199996799,66.3552000523,2.73328000307,0.61148795858,0.885083086807,0.00537810898749,0.036458030423,0.835090576088,0.00815637130925
breakdown,decode,4,128,1,20300829,9,75.8583068848,4,52.7298876585,63.6428158283,0.391616001725,67.3864326477,2.72582399845,0.626176819205,0.888319755806,0.00516246694406,0.0359330983038,0.838969632225,0.00825455833277
breakdown,decode,4,128,1,20300829,10,78.3695068359,4,51.0402599365,66.1076800823,0.398048002273,69.8948154449,2.76316800714,0.625919353217,0.891862387131,0.0050791183758,0.0352582033331,0.8435382938,0.00798677162187
breakdown,decode,4,128,1,20300829,11,76.9892501831,4,51.9553053249,64.7821757793,0.388031998649,68.5354888439,2.73708802462,0.62819304131,0.89019556212,0.00504008024142,0.035551561005,0.841444430557,0.00815949031606
breakdown,decode,4,128,1,20300829,12,73.2810897827,4,54.584341088,61.1935679913,0.385471999645,64.9079351425,2.7159999758,0.612895175815,0.885739217784,0.00526018377713,0.0370627672685,0.835052646907,0.00836361983196
breakdown,decode,4,128,1,20300829,13,75.6367034912,4,52.8843777607,63.5329921246,0.392191996798,67.2549118996,2.71395201981,0.615775758401,0.889183541789,0.00518520742834,0.03588141596,0.839975688945,0.00814122945578
breakdown,decode,4,128,1,20300829,14,74.8506851196,4,53.4397246145,62.6729602814,0.386751998216,66.4091508389,2.72755202651,0.621886532754,0.887221683178,0.00516698006969,0.0364399072921,0.837306434553,0.00830836126296
breakdown,decode,4,128,1,20300829,15,73.9414749146,4,54.0968381361,61.762847662,0.392576001585,65.4919679165,2.7200640291,0.616480223835,0.885727096899,0.00530928010346,0.0367867158755,0.835293693199,0.00833740772073
breakdown,prefill,4,128,2,20300930,-1,90.0684814453,512,5684.56347641,76.9099531174,0.421056000516,80.8582406044,2.89663998783,0.630591498688,0.897741799427,0.00467484289464,0.0321604177326,0.853905293874,0.00700124492574
breakdown,decode,4,128,2,20300930,0,74.1404800415,4,53.9516334095,61.8775041103,0.396671999246,65.6446721554,2.74348798394,0.627008061856,0.885409321853,0.00535027557178,0.0370039144932,0.834598104513,0.00845702727451
breakdown,decode,4,128,2,20300930,1,76.6612167358,4,52.1776221448,64.4012794495,0.397184001282,68.148671627,2.72249603271,0.627712143585,0.888958909456,0.00518102918521,0.0355133423214,0.840076406188,0.00818813176091
breakdown,decode,4,128,2,20300930,2,68.3439025879,4,58.5275327943,56.0448002815,0.393983999267,59.8190720081,2.75923199952,0.621055727825,0.875265674669,0.00576472785938,0.0403727603347,0.820040971606,0.00908721486933
breakdown,decode,4,128,2,20300930,3,74.5334701538,4,53.667164453,62.3497285843,0.391071997583,66.0913600922,2.73558399081,0.614975519478,0.886733972748,0.00524693130181,0.0367027589775,0.836533284384,0.00825099808461
breakdown,decode,4,128,2,20300930,4,75.7407073975,4,52.8117591906,63.6272962093,0.391679998487,67.3479351997,2.71756801009,0.611390981823,0.889190733938,0.00517132743997,0.0358798868333,0.840067361339,0.00807215832584
breakdown,decode,4,128,2,20300930,5,77.7881317139,4,51.4217260637,65.6394884586,0.391263999045,69.3590087891,2.70854398608,0.619712345302,0.891639987501,0.00502986754437,0.034819501721,0.843823948621,0.00796666961461
breakdown,decode,4,128,2,20300930,6,75.5636825562,4,52.9354825584,63.3185596466,0.389439994469,67.0856001377,2.75820800662,0.619392490014,0.887802154002,0.00515379850869,0.0365017679567,0.837949627449,0.00819696008799
breakdown,decode,4,128,2,20300930,7,79.7631378174,4,50.1484784758,65.732640028,0.391359999776,69.5308475494,2.76854398847,0.638303533196,0.871716552935,0.00490652713127,0.0347095671537,0.824097970901,0.00800248774889
breakdown,decode,4,128,2,20300930,8,74.1944351196,4,53.9123991382,61.9725761414,0.388864001259,65.6999998093,2.72393599153,0.614623675123,0.885511153274,0.00524114781159,0.0367134811005,0.835272565138,0.00828395922325
